university,AGRICULTURAL SCIENCES,BIOLOGY & BIOCHEMISTRY,CHEMISTRY,CLINICAL MEDICINE,COMPUTER SCIENCE,ECONOMICS & BUSINESS,ENGINEERING,ENVIRONMENT ECOLOGY,GEOSCIENCES,IMMUNOLOGY,MATERIALS SCIENCE,MATHEMATICS,MICROBIOLOGY,MOLECULAR BIOLOGY & GENETICS,MULTIDISCIPLINARY,NEUROSCIENCE & BEHAVIOR,PHARMACOLOGY & TOXICOLOGY,PHYSICS,PLANT & ANIMAL SCIENCE,PSYCHIATRY PSYCHOLOGY,"SOCIAL SCIENCES, GENERAL",SPACE SCIENCE
"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS",12.0,34.0,4.0,702.0,35.0,281.0,14.0,4.0,6.0,286.0,3.0,117.0,21.0,53.0,65.0,292.0,50.0,14.0,8.0,424.0,212.0,112.0
UNIVERSITY OF COLORADO BOULDER,892.0,339.0,316.0,695.0,611.0,218.0,283.0,68.0,16.0,,239.0,231.0,206.0,343.0,,354.0,,99.0,447.0,190.0,196.0,69.0
UNIVERSITY OF COLORADO SYSTEM,522.0,80.0,255.0,43.0,307.0,142.0,246.0,58.0,15.0,65.0,210.0,155.0,83.0,101.0,132.0,95.0,153.0,90.0,374.0,91.0,59.0,67.0
UNIVERSITY OF COPENHAGEN,38.0,22.0,299.0,41.0,538.0,232.0,1086.0,48.0,146.0,77.0,817.0,270.0,27.0,47.0,49.0,56.0,28.0,147.0,33.0,99.0,64.0,56.0
UNIVERSITY OF EDINBURGH,386.0,108.0,337.0,123.0,187.0,182.0,261.0,124.0,148.0,112.0,586.0,107.0,69.0,61.0,86.0,75.0,174.0,66.0,114.0,98.0,69.0,51.0
UNIVERSITY OF EXETER,673.0,392.0,1260.0,465.0,292.0,234.0,441.0,42.0,92.0,1104.0,754.0,,233.0,317.0,,430.0,1063.0,743.0,129.0,162.0,130.0,
UNIVERSITY OF FLORIDA,29.0,83.0,196.0,181.0,172.0,155.0,193.0,35.0,285.0,168.0,461.0,257.0,84.0,167.0,68.0,94.0,92.0,175.0,15.0,120.0,112.0,186.0
UNIVERSITY OF GENEVA,,184.0,513.0,219.0,,366.0,1315.0,606.0,347.0,126.0,1100.0,,280.0,164.0,,108.0,222.0,140.0,546.0,178.0,288.0,41.0
UNIVERSITY OF GEORGIA,118.0,276.0,770.0,1615.0,260.0,93.0,1453.0,166.0,519.0,518.0,1229.0,,87.0,403.0,118.0,764.0,560.0,,40.0,147.0,125.0,
UNIVERSITY OF GOTTINGEN,88.0,245.0,126.0,487.0,594.0,239.0,1559.0,117.0,391.0,663.0,827.0,253.0,394.0,227.0,193.0,115.0,883.0,295.0,116.0,341.0,432.0,
UNIVERSITY OF GRONINGEN,431.0,156.0,237.0,82.0,472.0,58.0,496.0,314.0,459.0,179.0,393.0,,157.0,125.0,174.0,132.0,126.0,306.0,464.0,38.0,101.0,84.0
UNIVERSITY OF HAMBURG,823.0,281.0,518.0,184.0,785.0,272.0,1406.0,456.0,214.0,182.0,888.0,,412.0,242.0,165.0,164.0,480.0,82.0,371.0,132.0,233.0,191.0
UNIVERSITY OF HELSINKI,138.0,153.0,529.0,153.0,507.0,540.0,1131.0,87.0,178.0,208.0,743.0,361.0,93.0,91.0,133.0,145.0,151.0,305.0,78.0,181.0,116.0,133.0
UNIVERSITY OF HONG KONG,339.0,238.0,281.0,177.0,104.0,118.0,87.0,147.0,181.0,157.0,169.0,384.0,63.0,247.0,57.0,347.0,191.0,255.0,751.0,130.0,65.0,
UNIVERSITY OF ILLINOIS SYSTEM,49.0,55.0,76.0,192.0,95.0,41.0,76.0,100.0,156.0,274.0,108.0,53.0,90.0,176.0,56.0,136.0,117.0,41.0,60.0,43.0,40.0,98.0
UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN,57.0,121.0,132.0,895.0,204.0,103.0,103.0,138.0,182.0,1155.0,148.0,127.0,135.0,352.0,95.0,388.0,680.0,62.0,67.0,115.0,135.0,103.0
UNIVERSITY OF LEEDS,160.0,364.0,434.0,221.0,525.0,88.0,202.0,121.0,52.0,492.0,529.0,,469.0,511.0,,576.0,441.0,789.0,274.0,278.0,87.0,
UNIVERSITY OF LIVERPOOL,828.0,362.0,360.0,187.0,316.0,209.0,241.0,541.0,306.0,174.0,518.0,,144.0,234.0,,362.0,140.0,183.0,256.0,186.0,159.0,
UNIVERSITY OF LONDON,123.0,12.0,58.0,4.0,9.0,3.0,54.0,21.0,48.0,6.0,92.0,25.0,15.0,10.0,12.0,3.0,6.0,27.0,55.0,1.0,1.0,25.0
UNIVERSITY OF MANCHESTER,810.0,107.0,81.0,109.0,105.0,54.0,122.0,312.0,224.0,82.0,125.0,228.0,355.0,154.0,208.0,198.0,138.0,142.0,414.0,66.0,58.0,80.0
UNIVERSITY OF MARYLAND COLLEGE PARK,198.0,291.0,271.0,1486.0,211.0,73.0,148.0,86.0,27.0,811.0,133.0,158.0,310.0,529.0,,558.0,853.0,36.0,201.0,100.0,89.0,53.0
UNIVERSITY OF MASSACHUSETTS SYSTEM,28.0,86.0,263.0,274.0,280.0,86.0,306.0,125.0,274.0,145.0,265.0,230.0,153.0,110.0,119.0,239.0,328.0,138.0,182.0,125.0,83.0,194.0
UNIVERSITY OF MELBOURNE,80.0,50.0,291.0,44.0,126.0,81.0,182.0,60.0,171.0,24.0,262.0,251.0,37.0,54.0,97.0,29.0,110.0,169.0,72.0,18.0,24.0,223.0
