university,AGRICULTURAL SCIENCES,BIOLOGY & BIOCHEMISTRY,CHEMISTRY,CLINICAL MEDICINE,COMPUTER SCIENCE,ECONOMICS & BUSINESS,ENGINEERING,ENVIRONMENT ECOLOGY,GEOSCIENCES,IMMUNOLOGY,MATERIALS SCIENCE,MATHEMATICS,MICROBIOLOGY,MOLECULAR BIOLOGY & GENETICS,MULTIDISCIPLINARY,NEUROSCIENCE & BEHAVIOR,PHARMACOLOGY & TOXICOLOGY,PHYSICS,PLANT & ANIMAL SCIENCE,PSYCHIATRY PSYCHOLOGY,"SOCIAL SCIENCES, GENERAL",SPACE SCIENCE
"ORYGEN, THE NATIONAL CENTRE OF EXCELLENCE IN YOUTH MENTAL HEALTH",,,,2463.0,,,,,,,,,,,,818.0,,,,163.0,2149.0,
OTTO VON GUERICKE UNIVERSITY,,1210.0,1203.0,1206.0,,162.0,961.0,,,815.0,,,,940.0,,324.0,,,,758.0,1077.0,
QUEENSLAND UNIVERSITY OF TECHNOLOGY (QUT),587.0,682.0,349.0,425.0,301.0,175.0,231.0,234.0,704.0,755.0,199.0,366.0,,505.0,,608.0,819.0,,841.0,323.0,117.0,
RAGON INSTITUTE,,1046.0,,2703.0,,,,,,228.0,,,275.0,521.0,194.0,,,,,,,
RENMIN UNIVERSITY OF CHINA,,,832.0,4695.0,558.0,55.0,826.0,826.0,,,808.0,208.0,,,,,,816.0,,421.0,334.0,
ROCKEFELLER UNIVERSITY,,336.0,,1550.0,,,,,,115.0,,,330.0,155.0,133.0,495.0,,,1671.0,,,
ROYAL MELBOURNE INSTITUTE OF TECHNOLOGY (RMIT),256.0,907.0,365.0,1204.0,182.0,117.0,109.0,417.0,726.0,1116.0,149.0,,,,,937.0,871.0,804.0,1209.0,759.0,235.0,
SHANGHAI UNIVERSITY OF FINANCE & ECONOMICS,,,,,,99.0,1242.0,1281.0,,,,,,,,,,,,,657.0,
SIMON FRASER UNIVERSITY,,448.0,1226.0,1246.0,386.0,243.0,877.0,457.0,651.0,977.0,1291.0,,,604.0,,1027.0,1244.0,530.0,567.0,303.0,173.0,
SINGAPORE MANAGEMENT UNIVERSITY,,,,,271.0,104.0,1685.0,,,,,,,,,,,,,773.0,1226.0,
SOUTH LONDON & MAUDSLEY NHS TRUST,,,,2601.0,,,,,,,,,,,,484.0,,,,67.0,1735.0,
SOUTHWESTERN UNIVERSITY OF FINANCE & ECONOMICS - CHINA,,,,,435.0,50.0,744.0,1356.0,,,,321.0,,,,,,,,,472.0,
STONY BROOK UNIVERSITY,,335.0,374.0,703.0,366.0,,745.0,590.0,398.0,673.0,500.0,391.0,645.0,337.0,,445.0,1024.0,150.0,579.0,156.0,396.0,
SWINBURNE UNIVERSITY OF TECHNOLOGY,1296.0,,854.0,2124.0,117.0,183.0,198.0,1190.0,,,296.0,,,,,1053.0,,548.0,,310.0,388.0,120.0
TEMPLE UNIVERSITY,,615.0,793.0,548.0,159.0,210.0,827.0,1305.0,,688.0,1151.0,,786.0,139.0,,414.0,508.0,598.0,1857.0,155.0,182.0,
THE WORLD BANK,,,,1155.0,,98.0,,1301.0,,,,,,,,,,,,,356.0,
TILBURG UNIVERSITY,,,,2254.0,,64.0,,,,,,,,,,,,,,112.0,309.0,
ULM UNIVERSITY,,620.0,544.0,269.0,,,1708.0,902.0,,429.0,798.0,,565.0,342.0,,262.0,921.0,810.0,844.0,180.0,822.0,
UNIVERSIDADE NOVA DE LISBOA,475.0,668.0,532.0,1429.0,743.0,109.0,672.0,618.0,820.0,990.0,613.0,,360.0,961.0,,1287.0,607.0,662.0,666.0,503.0,437.0,
UNIVERSITE LIBRE DE BRUXELLES,,486.0,827.0,304.0,,,1060.0,608.0,451.0,370.0,1539.0,,435.0,472.0,173.0,470.0,643.0,229.0,782.0,522.0,579.0,
UNIVERSITY MEDICAL CENTER HAMBURG-EPPENDORF,,397.0,,202.0,,,,,,189.0,,,749.0,288.0,,176.0,715.0,,,183.0,522.0,
UNIVERSITY OF ANTWERP,717.0,520.0,384.0,340.0,,322.0,876.0,213.0,839.0,277.0,578.0,,363.0,507.0,96.0,208.0,307.0,404.0,410.0,440.0,230.0,
UNIVERSITY OF AUCKLAND,113.0,306.0,517.0,271.0,310.0,173.0,262.0,231.0,471.0,704.0,421.0,,424.0,661.0,,305.0,235.0,628.0,311.0,184.0,133.0,
UNIVERSITY OF BATH,1279.0,1004.0,288.0,1034.0,,179.0,404.0,750.0,1164.0,,398.0,211.0,,,,1056.0,1021.0,934.0,1326.0,215.0,328.0,
UNIVERSITY OF BERGEN,894.0,372.0,1575.0,291.0,673.0,,1640.0,489.0,139.0,445.0,,134.0,708.0,353.0,,304.0,1035.0,467.0,357.0,202.0,175.0,
